"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
100,5,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.004,0.004,-0.142,0.004,-0.146,0.004,0.004,-0.142,0.004,-0.146,0.002,0.004,-0.142,0.004,-0.146,0.004,0.004,-0.142,0.004,-0.146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.005,-0.005,-0.146,-0.005,-0.141,-0.005,-0.005,-0.146,-0.005,-0.141,-0.005,-0.005,-0.146,-0.005,-0.141,-0.005,-0.005,-0.146,-0.005,-0.141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.003,0.003,-0.073,0.003,-0.076,0.003,0.003,-0.073,0.003,-0.076,0.003,0.003,-0.073,0.003,-0.076,0.003,0.003,-0.073,0.003,-0.076,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,-0.002,-0.002,-0.079,-0.002,-0.077,-0.002,-0.002,-0.079,-0.002,-0.077,-0.001,-0.002,-0.079,-0.002,-0.077,-0.002,-0.002,-0.079,-0.002,-0.077,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0,0.001,-0.04,0.001,-0.041,0,0,-0.04,0,-0.04,0.002,0,-0.04,0,-0.04,0,0,-0.04,0,-0.04,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,1,1.5,0,0,1,FALSE,0.001,0.001,-0.039,0.001,-0.041,0.001,0.001,-0.039,0.001,-0.041,0.001,0.001,-0.039,0.001,-0.041,0.001,0.001,-0.039,0.001,-0.041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.104,0.046,-1.42,0.047,-1.469,-0.247,0.018,-1.498,0.018,-1.516,-0.255,0.019,-1.497,0.019,-1.516,-0.264,0.019,-1.497,0.019,-1.516,0.975,0.997,0.984,0.984,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.117,0.009,-1.451,0.01,-1.457,-0.261,-0.011,-1.512,-0.011,-1.5,-0.268,-0.011,-1.511,-0.011,-1.501,-0.279,-0.011,-1.511,-0.011,-1.501,0.963,0.998,0.961,0.962,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.09,0.009,-0.958,0.01,-0.969,-0.249,-0.006,-1.015,-0.006,-1.009,-0.261,-0.006,-1.015,-0.006,-1.008,-0.268,-0.006,-1.015,-0.006,-1.01,0.931,0.989,0.974,0.975,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.085,0.011,-0.961,0.012,-0.971,-0.246,-0.004,-1.012,-0.004,-1.008,-0.257,-0.004,-1.012,-0.004,-1.008,-0.265,-0.004,-1.012,-0.004,-1.008,0.905,1,0.981,0.981,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.062,0.005,-0.573,0.005,-0.578,-0.241,-0.005,-0.611,-0.005,-0.607,-0.254,-0.005,-0.611,-0.005,-0.606,-0.26,-0.005,-0.611,-0.005,-0.606,0.966,0.671,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.07,0,-0.576,0,-0.576,-0.245,-0.01,-0.614,-0.01,-0.604,-0.257,-0.01,-0.614,-0.01,-0.605,-0.264,-0.01,-0.614,-0.01,-0.605,0.974,0.726,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.071,0.026,-0.41,0.026,-0.436,-1,-0.248,-1.15,-0.248,-0.902,-1,-0.247,-1.147,-0.247,-0.899,-1,-0.245,-1.139,-0.245,-0.894,1,0.996,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.079,0.017,-0.451,0.017,-0.468,-1.003,-0.264,-1.21,-0.264,-0.946,-1.002,-0.263,-1.204,-0.263,-0.942,-1.003,-0.261,-1.198,-0.261,-0.936,1,1,0.997,0.997,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.018,0.01,-0.226,0.01,-0.236,-1,-0.159,-0.714,-0.159,-0.555,-1,-0.158,-0.706,-0.158,-0.548,-1,-0.157,-0.702,-0.157,-0.544,1,0.964,0.988,0.987,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.027,0.005,-0.257,0.005,-0.262,-0.999,-0.165,-0.743,-0.165,-0.577,-0.999,-0.163,-0.733,-0.163,-0.569,-0.999,-0.163,-0.73,-0.163,-0.567,1,0.994,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.045,0.001,-0.134,0,-0.136,-0.996,-0.094,-0.413,-0.094,-0.319,92226646926935.3,-0.092,-0.404,-0.092,-0.312,-0.996,-0.092,-0.403,-0.092,-0.311,1,0.738,0.912,0.906,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,3,1.5,0,0,1,FALSE,-0.025,0.005,-0.125,0.005,-0.131,-0.998,-0.09,-0.41,-0.09,-0.32,71982217089391.4,-0.089,-0.402,-0.089,-0.314,-0.999,-0.089,-0.401,-0.089,-0.313,1,0.842,0.826,0.819,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,0.008,0.008,-1.461,0.008,-1.469,0.008,0.008,-1.461,0.008,-1.469,0.006,0.007,-1.461,0.007,-1.468,0.008,0.008,-1.461,0.008,-1.469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,-0.003,-0.003,-1.462,-0.003,-1.459,-0.003,-0.003,-1.462,-0.003,-1.459,-0.003,-0.003,-1.462,-0.003,-1.459,-0.003,-0.003,-1.462,-0.003,-1.459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,0.003,0.003,-0.965,0.003,-0.968,0.003,0.003,-0.965,0.003,-0.968,0.004,0.003,-0.966,0.003,-0.969,0.003,0.003,-0.965,0.003,-0.968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,0,0,-0.967,0,-0.967,0,0,-0.967,0,-0.967,0.001,0,-0.968,0,-0.968,0,0,-0.967,0,-0.967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,0.001,0.001,-0.579,0.001,-0.58,0.001,0.001,-0.579,0.001,-0.58,0.001,0.001,-0.579,0.001,-0.58,0.001,0.001,-0.579,0.001,-0.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,3,1.5,0,0,1,FALSE,-0.002,-0.002,-0.58,-0.002,-0.579,-0.002,-0.002,-0.58,-0.002,-0.579,-0.003,-0.002,-0.58,-0.002,-0.578,-0.002,-0.002,-0.58,-0.002,-0.579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.128,0.067,-0.346,0.067,-0.414,-0.471,0.047,-0.429,0.047,-0.476,-0.472,0.049,-0.427,0.049,-0.476,-0.526,0.049,-0.429,0.049,-0.478,0.971,1,0.976,0.977,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.134,0.034,-0.436,0.034,-0.471,-0.469,0.019,-0.509,0.019,-0.527,-0.474,0.02,-0.509,0.02,-0.529,-0.524,0.02,-0.509,0.02,-0.529,0.985,1,0.988,0.987,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.063,0.032,-0.239,0.031,-0.271,-0.461,0.02,-0.284,0.02,-0.305,-0.468,0.021,-0.285,0.021,-0.306,-0.517,0.021,-0.285,0.021,-0.305,0.947,0.994,0.993,0.993,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.066,0.022,-0.253,0.022,-0.275,-0.463,0.012,-0.297,0.012,-0.309,-0.47,0.013,-0.297,0.013,-0.31,-0.521,0.013,-0.297,0.013,-0.31,0.951,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.01,0.029,-0.129,0.029,-0.158,-0.454,0.023,-0.157,0.023,-0.18,-0.464,0.023,-0.157,0.023,-0.18,-0.51,0.023,-0.157,0.023,-0.181,0.884,0.764,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.027,0.007,-0.123,0.007,-0.129,-0.47,0.001,-0.149,0.001,-0.15,-0.477,0.002,-0.149,0.002,-0.15,-0.529,0.002,-0.149,0.002,-0.15,0.853,0.658,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.142,0.211,0.65,0.205,0.426,-1.321,-0.225,-0.72,-0.225,-0.495,-1.321,-0.226,-0.714,-0.226,-0.488,-1.32,-0.221,-0.708,-0.221,-0.487,0.963,0.926,0.987,0.987,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.316,0.038,0.093,0.038,0.056,-1.324,-0.278,-0.854,-0.278,-0.576,-1.324,-0.277,-0.846,-0.277,-0.569,-1.324,-0.274,-0.842,-0.274,-0.568,0.967,0.951,0.99,0.992,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.114,0.046,0.104,0.047,0.058,-1.322,-0.128,-0.422,-0.128,-0.294,9801656162993.53,-0.127,-0.411,-0.127,-0.284,-1.322,-0.125,-0.407,-0.125,-0.282,0.984,0.924,0.989,0.99,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.191,0.011,0.009,0.011,-0.002,-1.323,-0.159,-0.505,-0.159,-0.346,4019993832565.79,-0.158,-0.495,-0.158,-0.338,-1.323,-0.155,-0.492,-0.155,-0.337,0.993,0.91,0.995,0.997,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.079,0.007,0.023,0.007,0.015,-1.324,-0.08,-0.242,-0.08,-0.162,7436230430538.08,-0.077,-0.233,-0.077,-0.156,-1.324,-0.077,-0.232,-0.077,-0.155,0.998,0.928,0.952,0.955,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,3,1.5,0,0,1,FALSE,-0.094,0.012,0.026,0.012,0.013,-1.323,-0.076,-0.249,-0.076,-0.173,1983658920390.75,-0.074,-0.241,-0.074,-0.167,-1.323,-0.074,-0.24,-0.074,-0.166,1,0.905,0.94,0.94,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0,0,-0.442,0,-0.442,0,0,-0.442,0,-0.442,0,0,-0.442,0,-0.442,0,0,-0.442,0,-0.442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0,0,-0.434,0,-0.434,0,0,-0.434,0,-0.434,-0.002,-0.001,-0.434,-0.001,-0.433,0,0,-0.434,0,-0.434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0.003,0.003,-0.237,0.003,-0.24,0.003,0.003,-0.237,0.003,-0.24,0.002,0.002,-0.237,0.002,-0.239,0.003,0.003,-0.237,0.003,-0.24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0.002,0.002,-0.233,0.002,-0.235,0.002,0.002,-0.233,0.002,-0.235,0.003,0.002,-0.233,0.002,-0.235,0.002,0.002,-0.233,0.002,-0.235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0,0,-0.12,0,-0.12,0,0,-0.12,0,-0.12,0,0,-0.12,0,-0.12,0,0,-0.12,0,-0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,3,1.5,0,0,1,FALSE,0.001,0.001,-0.122,0.001,-0.123,0.001,0.001,-0.122,0.001,-0.123,0,0.001,-0.122,0.001,-0.123,0.001,0.001,-0.122,0.001,-0.123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,0.037,0.015,0.011,0.012,0.001,-0.226,-0.224,-0.22,-0.224,0.004,-0.225,-0.224,-0.22,-0.224,0.005,-0.22,-0.224,-0.221,-0.224,0.002,0.918,0.908,0.923,0.931,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,0.032,0.007,0.012,0.007,0.001,-0.235,-0.235,-0.235,-0.235,0,-0.234,-0.235,-0.234,-0.235,0.001,-0.23,-0.235,-0.235,-0.235,0,0.897,0.875,0.903,0.906,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.006,-0.013,-0.074,-0.013,-0.051,-0.236,-0.233,-0.264,-0.233,-0.031,-0.234,-0.233,-0.265,-0.233,-0.031,-0.23,-0.233,-0.262,-0.233,-0.029,0.944,0.943,0.937,0.939,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.003,-0.01,-0.036,-0.011,-0.026,-0.246,-0.244,-0.257,-0.244,-0.013,-0.244,-0.244,-0.257,-0.244,-0.013,-0.241,-0.244,-0.256,-0.244,-0.012,0.959,0.978,0.975,0.969,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,-0.002,-0.004,-0.014,-0.004,-0.01,-0.244,-0.241,-0.243,-0.241,-0.002,-0.242,-0.241,-0.24,-0.241,0.001,-0.241,-0.241,-0.241,-0.241,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,0,0,0,1.5,1,0,1,FALSE,0.002,0,0.036,0,0.036,-0.241,-0.239,-0.207,-0.239,0.032,-0.239,-0.238,-0.206,-0.238,0.032,-0.237,-0.239,-0.205,-0.239,0.034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.016,0.013,-0.001,0.013,-0.016,-0.293,-0.211,-0.228,-0.211,-0.017,-0.291,-0.21,-0.227,-0.21,-0.016,-0.293,-0.211,-0.225,-0.211,-0.013,0.966,0.949,0.951,0.959,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.004,0.001,0.008,0.001,0.007,-0.304,-0.224,-0.224,-0.224,-0.001,-0.305,-0.224,-0.223,-0.224,0.001,-0.305,-0.224,-0.221,-0.224,0.003,0.952,0.953,0.949,0.951,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.003,0.001,-0.02,0.002,-0.018,-0.264,-0.22,-0.219,-0.22,0,-0.264,-0.22,-0.216,-0.22,0.004,-0.264,-0.22,-0.213,-0.22,0.007,0.953,0.96,0.928,0.937,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.005,0.004,-0.016,0.004,-0.017,-0.265,-0.223,-0.233,-0.223,-0.01,-0.265,-0.223,-0.229,-0.223,-0.006,-0.266,-0.223,-0.227,-0.223,-0.004,0.988,0.993,0.969,0.974,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.004,0.004,0.023,0.004,0.019,-0.247,-0.223,-0.215,-0.223,0.009,-0.247,-0.223,-0.207,-0.223,0.016,-0.247,-0.224,-0.205,-0.224,0.018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,0,0,0,1.5,1,0,1,FALSE,0.003,0.003,0.001,0.003,-0.002,-0.25,-0.228,-0.241,-0.228,-0.013,-0.25,-0.228,-0.23,-0.228,-0.001,-0.25,-0.228,-0.228,-0.228,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.001,0.001,-0.023,0.001,-0.024,0.001,0.001,-0.023,0.001,-0.024,0.002,0.002,-0.023,0.002,-0.025,0.001,0.001,-0.023,0.001,-0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.001,0.001,0.012,0.001,0.011,0.001,0.001,0.012,0.001,0.011,0.001,0.001,0.009,0.001,0.008,0.001,0.001,0.012,0.001,0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.002,0.002,0.006,0.002,0.004,0.002,0.002,0.006,0.002,0.004,0.001,0.001,0.006,0.001,0.005,0.002,0.002,0.006,0.002,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.001,0.001,0,0.001,-0.001,0.001,0.001,0,0.001,-0.001,0.001,0.001,-0.008,0.001,-0.009,0.001,0.001,0,0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,-0.003,-0.003,-0.036,-0.003,-0.032,-0.003,-0.003,-0.036,-0.003,-0.032,-0.002,-0.002,-0.044,-0.002,-0.041,-0.003,-0.003,-0.036,-0.003,-0.032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,0,0,0,1.5,1,0,1,FALSE,0.001,0.001,0.012,0.001,0.01,0.001,0.001,0.012,0.001,0.01,0.002,0.002,0.005,0.002,0.003,0.001,0.001,0.012,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.059,0.019,-0.004,0.017,-0.016,-0.227,-0.224,-0.243,-0.224,-0.019,-0.227,-0.225,-0.243,-0.225,-0.018,-0.22,-0.224,-0.243,-0.224,-0.019,0.92,0.891,0.92,0.918,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.047,0.008,0.018,0.009,0.007,-0.242,-0.24,-0.239,-0.24,0.002,-0.242,-0.242,-0.238,-0.242,0.003,-0.235,-0.24,-0.239,-0.24,0.002,0.885,0.861,0.89,0.891,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.006,-0.013,-0.046,-0.011,-0.03,-0.24,-0.237,-0.252,-0.237,-0.015,-0.238,-0.237,-0.251,-0.237,-0.014,-0.23,-0.237,-0.252,-0.237,-0.016,0.943,0.959,0.932,0.942,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.006,-0.015,-0.005,-0.016,0.012,-0.248,-0.246,-0.225,-0.246,0.021,-0.244,-0.245,-0.224,-0.245,0.021,-0.238,-0.245,-0.224,-0.245,0.021,0.944,0.975,0.957,0.957,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.006,-0.003,0.01,-0.003,0.014,-0.245,-0.24,-0.225,-0.24,0.015,-0.241,-0.24,-0.226,-0.24,0.014,-0.233,-0.24,-0.226,-0.24,0.014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,0,1.5,1,0,1,FALSE,0.006,-0.003,-0.007,-0.003,-0.004,-0.247,-0.243,-0.245,-0.243,-0.002,-0.243,-0.243,-0.244,-0.243,-0.001,-0.236,-0.243,-0.244,-0.243,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.002,-0.001,0.017,-0.001,0.018,-0.545,-0.209,-0.198,-0.209,0.01,-0.547,-0.209,-0.197,-0.209,0.012,-0.545,-0.208,-0.196,-0.208,0.013,0.987,1,0.985,0.987,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,-0.003,-0.005,-0.002,-0.005,0.003,-0.547,-0.218,-0.217,-0.218,0,-0.546,-0.217,-0.216,-0.217,0.001,-0.548,-0.217,-0.214,-0.217,0.003,0.997,1,0.995,0.997,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.013,0.009,0.008,0.009,-0.001,-0.521,-0.211,-0.221,-0.211,-0.01,-0.523,-0.211,-0.216,-0.211,-0.005,-0.522,-0.21,-0.213,-0.21,-0.004,0.96,0.958,0.959,0.962,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.005,0.002,0.007,0.002,0.005,-0.528,-0.217,-0.219,-0.217,-0.002,-0.528,-0.216,-0.215,-0.216,0.002,-0.529,-0.216,-0.212,-0.216,0.004,0.982,0.987,0.992,0.99,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.005,0.001,-0.006,0.001,-0.009,-0.513,-0.214,-0.222,-0.214,-0.008,-0.511,-0.212,-0.213,-0.212,-0.001,-0.513,-0.212,-0.21,-0.212,0.001,0.993,1,0.921,0.92,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,0,1.5,1,0,1,FALSE,0.004,0.002,-0.005,0.002,-0.007,-0.513,-0.216,-0.228,-0.216,-0.012,-0.513,-0.214,-0.217,-0.214,-0.003,-0.513,-0.214,-0.215,-0.214,-0.001,1,1,0.965,0.965,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.003,-0.001,-0.002,-0.001,-0.001,-0.003,-0.001,-0.002,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.003,-0.001,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.001,0.001,0.015,0.001,0.013,0.001,0.001,0.015,0.001,0.013,0.001,0.001,0.016,0.001,0.015,0.001,0.001,0.015,0.001,0.013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.001,-0.001,-0.02,-0.001,-0.019,-0.001,-0.001,-0.02,-0.001,-0.019,-0.001,-0.001,-0.019,-0.001,-0.019,-0.001,-0.001,-0.02,-0.001,-0.019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.001,0.001,0.017,0.001,0.015,0.001,0.001,0.017,0.001,0.015,-0.001,-0.001,0.01,-0.001,0.01,0.001,0.001,0.017,0.001,0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,0.001,0.001,0.048,0.001,0.047,0.001,0.001,0.048,0.001,0.047,0,0,0.046,0,0.047,0.001,0.001,0.048,0.001,0.047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,0,1.5,1,0,1,FALSE,-0.001,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,0.001,0.001,-0.003,0.001,-0.004,-0.001,-0.001,0.001,-0.001,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.07,0.006,0.029,0.003,0.023,-0.242,-0.237,-0.219,-0.237,0.018,-0.245,-0.24,-0.219,-0.24,0.021,-0.233,-0.237,-0.219,-0.237,0.018,0.894,0.861,0.908,0.921,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.088,0.013,0.021,0.013,0.005,-0.24,-0.236,-0.241,-0.236,-0.005,-0.239,-0.237,-0.242,-0.237,-0.005,-0.231,-0.236,-0.24,-0.236,-0.005,0.878,0.797,0.87,0.889,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.039,-0.005,-0.023,-0.002,-0.017,-0.235,-0.229,-0.233,-0.229,-0.004,-0.23,-0.228,-0.232,-0.228,-0.004,-0.219,-0.229,-0.234,-0.229,-0.005,0.916,0.975,0.922,0.936,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.028,-0.015,-0.022,-0.014,-0.007,-0.254,-0.248,-0.242,-0.248,0.006,-0.25,-0.247,-0.243,-0.247,0.004,-0.239,-0.247,-0.243,-0.247,0.005,0.96,0.998,0.953,0.957,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.013,-0.01,0.003,-0.01,0.012,-0.254,-0.245,-0.232,-0.245,0.012,-0.248,-0.245,-0.232,-0.245,0.012,-0.233,-0.244,-0.233,-0.244,0.012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,0,1.5,1,0,1,FALSE,0.023,0,0.007,0,0.007,-0.249,-0.24,-0.232,-0.24,0.009,-0.245,-0.242,-0.232,-0.242,0.009,-0.228,-0.24,-0.232,-0.24,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
